incident_severity,vehicle_claim,total_claim_amount,property_claim,authorities_contacted,injury_claim,fraud_reported
0,52080,71610,13020,3,6510,1
1,3510,5070,780,3,780,1
1,23100,34650,3850,3,7700,0
0,50720,63400,6340,3,6340,1
1,4550,6500,650,3,1300,0
0,51280,64100,6410,1,6410,1
1,50050,78650,7150,3,21450,0
2,32830,51590,9380,3,9380,0
2,22160,27700,2770,3,2770,0
2,32900,42300,4700,2,4700,0
2,63280,87010,15820,3,7910,0
0,79560,114920,17680,1,17680,0
2,42390,56520,9420,0,4710,0
1,5040,7280,1120,3,1120,0
2,33600,46200,8400,3,4200,1
0,42080,63120,10520,2,10520,1
0,40530,52110,5790,2,5790,0
2,56640,77880,7080,3,14160,0
2,53040,72930,13260,2,6630,0
0,48320,60400,6040,3,6040,0
1,41920,47160,5240,3,0,0
2,33110,37840,4730,3,0,0
0,47680,71520,5960,0,17880,1
2,73620,98160,16360,0,8180,1
1,56640,77880,14160,2,7080,0
0,44000,71500,11000,2,16500,1
1,6560,9020,820,3,1640,0
1,4160,5720,520,3,1040,1
1,46560,69840,15520,2,7760,0
1,63450,91650,14100,3,14100,0
0,50400,75600,12600,0,12600,0
0,52220,67140,7460,3,7460,1
2,23170,29790,3310,3,3310,0
0,49070,77110,14020,0,14020,0
2,48600,64800,5400,1,10800,0
0,37170,53100,5310,2,10620,1
2,48160,60200,6020,3,6020,1
1,3280,5330,820,3,1230,0
0,43610,62300,6230,3,12460,0
0,38290,60170,10940,0,10940,1
1,28000,40000,4000,0,8000,0
0,64720,97080,16180,3,16180,1
1,40180,51660,5740,2,5740,0
2,39760,51120,5680,2,5680,0
1,33840,56400,11280,2,11280,0
2,48230,55120,0,2,6890,0
2,63090,77110,14020,1,0,0
0,50240,62800,6280,1,6280,1
3,5670,7290,810,3,810,0
2,53620,76600,7660,2,15320,0
1,57260,81800,8180,1,16360,0
3,5280,7260,660,3,1320,0
1,3440,4300,430,3,430,0
0,44870,70510,12820,3,12820,0
1,1680,2640,480,3,480,0
1,55230,78900,7890,1,15780,0
0,50160,56430,6270,1,0,0
1,1800,2400,300,3,300,0
2,51170,65790,7310,0,7310,0
1,45760,62920,5720,3,11440,0
0,54040,69480,0,3,15440,1
2,33210,44280,3690,2,7380,0
1,39410,56300,11260,2,5630,0
0,51390,68520,5710,1,11420,1
2,45990,59130,6570,1,6570,1
1,61740,82320,6860,0,13720,1
1,62100,89700,13800,1,13800,1
1,30160,33930,3770,1,0,0
0,49840,68530,6230,0,12460,0
1,2580,4300,860,3,860,0
0,49680,68310,6210,2,12420,1
2,47670,61290,6810,2,6810,1
1,27090,30100,0,0,3010,0
1,42840,57120,4760,1,9520,0
1,28620,42930,4770,0,9540,0
2,34140,51210,5690,0,11380,0
1,67050,89400,7450,1,14900,0
2,38010,59730,10860,3,10860,0
1,5580,8060,1240,3,1240,0
0,50540,72200,7220,1,14440,1
1,30480,50800,10160,0,10160,0
3,4620,6600,1320,3,660,0
1,5250,7500,1500,3,750,0
3,4130,6490,1180,3,1180,0
0,44320,60940,11080,0,5540,1
0,40810,58300,11660,1,5830,0
1,45600,68400,11400,2,11400,0
2,40880,64240,11680,1,11680,0
3,3290,4700,470,3,940,0
0,39480,45120,5640,2,0,1
2,46350,66950,10300,1,10300,0
0,71520,98340,17880,3,8940,1
3,4720,5900,590,3,590,0
0,53010,70680,11780,0,5890,0
2,68160,93720,8520,0,17040,0
1,5040,6930,630,3,1260,0
0,59670,72930,6630,1,6630,1
1,50470,64890,7210,2,7210,1
3,3600,5400,900,3,900,0
3,4200,5600,700,3,700,0
1,47580,79300,15860,3,15860,0
0,36960,52800,5280,3,10560,0
1,25200,28800,3600,1,0,0
1,2310,2970,330,3,330,0
2,70110,93480,7790,3,15580,0
1,3360,4320,480,3,480,0
0,53200,79800,19950,3,6650,1
0,51940,74200,14840,0,7420,0
0,48870,70590,10860,1,10860,1
0,44320,60940,11080,1,5540,1
1,52290,74700,14940,3,7470,0
0,49000,70000,7000,1,14000,1
2,51590,81070,14740,2,14740,0
0,33670,57720,9620,2,14430,0
1,4720,7080,1180,3,1180,0
2,33390,47700,9540,2,4770,1
1,32620,51260,9320,3,9320,0
0,51200,70400,12800,3,6400,1
1,63000,90000,9000,1,18000,0
1,52960,72820,6620,3,13240,0
1,41580,69300,13860,1,13860,0
0,51040,76560,12760,0,12760,1
0,49280,55440,6160,0,0,1
2,51420,77130,17140,2,8570,0
2,28000,42000,7000,0,7000,0
2,23100,36300,9900,0,3300,0
2,28800,40320,5760,2,5760,0
1,2970,3960,660,3,330,0
0,42560,63840,10640,1,10640,1
0,34790,44730,4970,1,4970,1
1,56480,84720,14120,2,14120,0
0,43050,61500,12300,2,6150,0
0,34000,51000,8500,0,8500,0
2,32760,46800,9360,3,4680,0
1,52080,78120,8680,0,17360,0
0,48440,69200,6920,3,13840,1
1,2870,3690,410,3,410,0
1,52400,65500,6550,1,6550,0
1,55360,76120,6920,1,13840,0
2,49040,73560,12260,2,12260,0
2,37840,52030,4730,3,9460,0
3,3760,5170,940,3,470,0
1,5040,8190,1260,3,1890,0
0,49560,70800,14160,0,7080,1
2,35490,45630,5070,3,5070,0
0,76400,99320,15280,3,7640,1
0,44800,64000,6400,1,12800,1
1,37840,47300,4730,1,4730,0
0,53760,71680,8960,2,8960,1
0,77760,112320,17280,2,17280,1
2,60160,82720,15040,2,7520,0
0,32040,48060,5340,1,10680,0
2,44010,63570,9780,3,9780,1
2,42160,63240,10540,1,10540,0
1,36160,54240,9040,0,9040,1
0,37280,37280,0,3,0,1
1,50470,72100,14420,3,7210,0
1,4550,6500,650,3,1300,0
2,52160,78240,13040,0,13040,0
1,4340,6200,620,3,1240,0
1,3920,6160,1680,3,560,0
2,52650,76050,11700,0,11700,0
2,59580,86060,13240,0,13240,0
0,75530,107900,21580,1,10790,1
2,63630,99990,18180,1,18180,0
1,44640,61380,5580,0,11160,0
0,45360,71280,12960,1,12960,1
1,44800,64000,6400,0,12800,0
3,4620,5940,660,3,660,0
1,5360,6700,670,3,670,0
1,31840,51740,7960,3,11940,0
2,40200,53600,6700,0,6700,1
2,34930,44910,4990,2,4990,0
0,29600,48100,7400,1,11100,0
3,4270,6100,1220,3,610,0
1,47760,79600,15920,2,15920,0
1,59920,77040,8560,0,8560,0
1,39830,62590,11380,1,11380,0
2,58950,85150,13100,2,13100,0
3,3600,4950,900,3,450,0
0,35770,51100,5110,1,10220,0
1,67200,100800,16800,3,16800,0
2,57890,90970,16540,3,16540,0
1,59520,81840,7440,3,14880,1
0,43920,54900,5490,0,5490,0
2,64480,88660,16120,1,8060,1
2,13500,18000,2250,0,2250,0
1,3850,5500,550,3,1100,0
0,53760,73920,6720,2,13440,1
2,64820,101860,18520,0,18520,0
1,3430,5390,980,3,980,0
1,39270,50490,5610,3,5610,0
2,38850,55500,11100,3,5550,0
1,5120,7040,640,3,1280,0
2,35140,40160,0,2,5020,0
2,41760,55680,6960,1,6960,0
3,4240,5300,530,3,530,1
3,3900,5200,650,3,650,0
0,41580,59400,11880,0,5940,0
1,1960,2520,280,3,280,0
3,3840,5760,960,3,960,0
1,61360,76700,7670,1,7670,0
3,4440,5920,740,3,740,0
0,50050,64350,7150,1,7150,0
2,12720,19080,2120,0,4240,0
1,43520,54400,5440,3,5440,0
2,47840,59800,5980,1,5980,1
0,57600,72000,7200,3,7200,0
2,43380,65070,14460,3,7230,0
3,6160,8800,880,3,1760,0
1,4080,6120,1020,3,1020,0
3,5310,7080,590,3,1180,0
1,21450,34320,4290,0,8580,0
0,34020,53460,9720,2,9720,1
2,61020,81360,13560,2,6780,1
1,58960,81070,14740,0,7370,1
1,47340,63120,10520,1,5260,0
3,5040,7200,720,3,1440,0
2,51120,70290,6390,2,12780,1
1,41670,60190,9260,1,9260,0
0,44640,61380,5580,2,11160,1
1,19670,28100,5620,0,2810,0
2,31220,49060,8920,1,8920,0
2,44380,57060,6340,1,6340,0
0,51920,77880,12980,1,12980,0
2,51450,73500,14700,0,7350,0
1,68400,88920,13680,2,6840,0
0,30310,47630,4330,2,12990,1
2,45920,59040,6560,1,6560,0
1,57840,79530,7230,2,14460,0
2,43920,53680,4880,2,4880,0
1,24400,33550,6100,3,3050,0
2,55280,69100,6910,2,6910,0
0,50750,79750,14500,3,14500,0
0,37520,53600,10720,2,5360,1
1,57420,76560,6380,1,12760,0
2,31990,41130,4570,1,4570,0
2,57200,78650,7150,1,14300,1
0,51680,71060,12920,2,6460,0
1,31770,38830,3530,1,3530,0
0,42800,53500,5350,1,5350,0
0,58960,73700,7370,2,7370,1
3,5040,6300,630,3,630,0
2,43600,65400,10900,0,10900,0
3,2240,3200,320,3,640,0
0,52780,75400,15080,1,7540,1
1,45220,58140,6460,1,6460,0
2,68310,98670,15180,0,15180,1
1,4130,5900,590,3,1180,0
0,51280,64100,6410,1,6410,0
